分类: 📺央视频道, 名称: CCTV-1, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 37 ms, 最高速率: 11.62 MiB/s, 平均速率: 6.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 8, IPv4: 30, IPv6: 0, 最小延迟: 24 ms, 最高速率: 10.89 MiB/s, 平均速率: 5.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.63 MiB/s, 平均速率: 7.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4, 有效: 7, IPv4: 30, IPv6: 0, 最小延迟: 27 ms, 最高速率: 12.93 MiB/s, 平均速率: 6.32 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 有效: 2, IPv4: 26, IPv6: 0, 最小延迟: 98 ms, 最高速率: 13.37 MiB/s, 平均速率: 6.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-6, 有效: 10, IPv4: 24, IPv6: 0, 最小延迟: 25 ms, 最高速率: 16.44 MiB/s, 平均速率: 6.50 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-7, 有效: 4, IPv4: 27, IPv6: 0, 最小延迟: 38 ms, 最高速率: 10.80 MiB/s, 平均速率: 6.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 29, IPv6: 0, 最小延迟: 24 ms, 最高速率: 11.97 MiB/s, 平均速率: 6.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-9, 有效: 4, IPv4: 27, IPv6: 0, 最小延迟: 26 ms, 最高速率: 12.68 MiB/s, 平均速率: 7.60 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 3, IPv4: 26, IPv6: 0, 最小延迟: 26 ms, 最高速率: 11.75 MiB/s, 平均速率: 9.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 28 ms, 最高速率: 10.32 MiB/s, 平均速率: 5.64 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 3, IPv4: 28, IPv6: 0, 最小延迟: 26 ms, 最高速率: 11.74 MiB/s, 平均速率: 10.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
